identifier;description;construction_identifier;adjacent_A;adjacent_B;window_identifier;area;vertices;
B0049;EP Surface Names:6DDF13;C0001;AMB;Z0008;W0007;34.00571765;(163.1058259,0.1901507441,9.81),(163.1058259,0.1901507441,6.41),(173.1075075,0.1901507441,6.41),(173.1075075,0.1901507441,9.81);
B0050;EP Surface Names:B617F4,98D3F2;NMC0001;Z0016;Z0008;NaN;14.35592573;(163.1058259,4.412481841,9.81),(163.1058259,4.412481841,6.41),(163.1058259,0.1901507441,6.41),(163.1058259,0.1901507441,9.81);
B0051;EP Surface Names:09a_Floor;C0002;ADB;Z0009;NaN;33.72295495;(178.552396,8.258150744,6.41),(178.552396,0.1901507441,6.41),(173.1075075,0.1901507441,6.41),(173.1075075,4.412481841,6.41),(175.7615075,4.412481841,6.41),(175.7615075,8.258150744,6.41);
B0052;EP Surface Names:09a_Ceiling;C0009;ADB;Z0009;NaN;33.72295495;(173.1075075,4.412481841,9.81),(173.1075075,0.1901507441,9.81),(178.552396,0.1901507441,9.81),(178.552396,8.258150744,9.81),(175.7615075,8.258150744,9.81),(175.7615075,4.412481841,9.81);
B0053;EP Surface Names:537DEC;C0001;AMB;Z0009;W0005;18.51262082;(173.1075075,0.1901507441,9.81),(173.1075075,0.1901507441,6.41),(178.552396,0.1901507441,6.41),(178.552396,0.1901507441,9.81);
B0054;EP Surface Names:61237A,28CC00;NMC0001;Z0007;Z0009;NaN;9.489020817;(178.552396,8.258150744,9.81),(178.552396,8.258150744,6.41),(175.7615075,8.258150744,6.41),(175.7615075,8.258150744,9.81);
B0055;EP Surface Names:F9A3BC;C0001;AMB;Z0009;W0020;27.4312;(178.552396,0.1901507441,9.81),(178.552396,0.1901507441,6.41),(178.552396,8.258150744,6.41),(178.552396,8.258150744,9.81);
B0056;EP Surface Names:03_Floor;C0002;ADB;Z0010;NaN;17.7464379;(159.7747329,24.59215074,6.41),(159.7747329,20.37690778,6.41),(158.4505075,20.37690778,6.41),(158.4505075,21.70690778,6.41),(154.234396,21.70690778,6.41),(154.234396,24.59215074,6.41);
B0057;EP Surface Names:D84594;C0001;AMB;Z0010;W0016;9.809826073;(154.234396,24.59215074,9.81),(154.234396,24.59215074,6.41),(154.234396,21.70690778,6.41),(154.234396,21.70690778,9.81);
B0058;EP Surface Names:38B9A3,6CD722;C0004;Z0015;Z0010;NaN;14.33182607;(159.7747329,20.37690778,9.81),(159.7747329,20.37690778,6.41),(159.7747329,24.59215074,6.41),(159.7747329,24.59215074,9.81);
B0059;EP Surface Names:C11EEE;C0001;AMB;Z0010;W0014;18.83714554;(159.7747329,24.59215074,9.81),(159.7747329,24.59215074,6.41),(154.234396,24.59215074,6.41),(154.234396,24.59215074,9.81);
B0060;EP Surface Names:03_Ceiling;C0009;ADB;Z0010;NaN;17.7464379;(154.234396,24.59215074,9.81),(154.234396,21.70690778,9.81),(158.4505075,21.70690778,9.81),(158.4505075,20.37690778,9.81),(159.7747329,20.37690778,9.81),(159.7747329,24.59215074,9.81);
B0061;EP Surface Names:04a_Floor;C0002;ADB;Z0011;NaN;67.44445708;(181.1082465,24.59215074,6.41),(181.1082465,20.37690778,6.41),(165.1081113,20.37690778,6.41),(165.1081113,24.59215074,6.41);
B0062;EP Surface Names:82D6CD,9B4C93;C0004;Z0004;Z0011;NaN;54.4004595;(165.1081113,20.37690778,9.81),(165.1081113,20.37690778,6.41),(181.1082465,20.37690778,6.41),(181.1082465,20.37690778,9.81);
B0063;EP Surface Names:53DE82,8AAA63;C0004;Z0012;Z0011;NaN;14.33182607;(181.1082465,20.37690778,9.81),(181.1082465,20.37690778,6.41),(181.1082465,24.59215074,6.41),(181.1082465,24.59215074,9.81);
B0064;EP Surface Names:5C5113,745A59;NMC0001;Z0015;Z0011;NaN;14.33182607;(165.1081113,24.59215074,9.81),(165.1081113,24.59215074,6.41),(165.1081113,20.37690778,6.41),(165.1081113,20.37690778,9.81);
B0065;EP Surface Names:A48019;C0001;AMB;Z0011;W0013;54.4004595;(181.1082465,24.59215074,9.81),(181.1082465,24.59215074,6.41),(165.1081113,24.59215074,6.41),(165.1081113,24.59215074,9.81);
B0066;EP Surface Names:04a_Ceiling;C0009;ADB;Z0011;NaN;67.44445708;(165.1081113,24.59215074,9.81),(165.1081113,20.37690778,9.81),(181.1082465,20.37690778,9.81),(181.1082465,24.59215074,9.81);
B0067;EP Surface Names:05_Floor;C0002;ADB;Z0012;NaN;17.50834375;(186.564396,24.59215074,6.41),(186.564396,21.70190778,6.41),(182.4205075,21.70190778,6.41),(182.4205075,20.37690778,6.41),(181.1082465,20.37690778,6.41),(181.1082465,24.59215074,6.41);
